"tidspkt","fti","fam_year_ago","fam_next_year","Dk_year_ago","Dk_next_year","goods"
"1974M10","-15","-5","1","-59","-20","6"
"1974M11","..","..","..","..","..",".."
"1974M12","..","..","..","..","..",".."
"1975M01","-15","-3","4","-63","-5","-8"
"1975M02","..","..","..","..","..",".."
"1975M03","..","..","..","..","..",".."
"1975M04","..","..","..","..","..",".."
"1975M05","-5","1","6","-35","1","4"
"1975M06","..","..","..","..","..",".."
"1975M07","..","..","..","..","..",".."
"1975M08","..","..","..","..","..",".."
"1975M09","..","..","..","..","..",".."
"1975M10","4","6","9","-27","-5","36"
"1975M11","..","..","..","..","..",".."
"1975M12","..","..","..","..","..",".."
"1976M01","10","8","10","-23","-2","55"
"1976M02","..","..","..","..","..",".."
"1976M03","..","..","..","..","..",".."
"1976M04","..","..","..","..","..",".."
"1976M05","2","7","11","-32","-13","39"
"1976M06","..","..","..","..","..",".."
"1976M07","..","..","..","..","..",".."
"1976M08","..","..","..","..","..",".."
"1976M09","..","..","..","..","..",".."
"1976M10","-8","1","2","-46","-23","27"
"1976M11","..","..","..","..","..",".."
"1976M12","..","..","..","..","..",".."
"1977M01","-4","1","6","-40","-21","35"
"1977M02","..","..","..","..","..",".."
"1977M03","..","..","..","..","..",".."
"1977M04","..","..","..","..","..",".."
"1977M05","-4","4","7","-45","-28","43"
"1977M06","..","..","..","..","..",".."
"1977M07","..","..","..","..","..",".."
"1977M08","..","..","..","..","..",".."
"1977M09","..","..","..","..","..",".."
"1977M10","-5","0","4","-40","-25","38"
"1977M11","..","..","..","..","..",".."
"1977M12","..","..","..","..","..",".."
"1978M01","-2","2","6","-32","-23","40"
"1978M02","..","..","..","..","..",".."
"1978M03","..","..","..","..","..",".."
"1978M04","..","..","..","..","..",".."
"1978M05","-2","2","6","-33","-24","40"
"1978M06","..","..","..","..","..",".."
"1978M07","..","..","..","..","..",".."
"1978M08","..","..","..","..","..",".."
"1978M09","..","..","..","..","..",".."
"1978M10","0","2","6","-25","-14","32"
"1978M11","..","..","..","..","..",".."
"1978M12","..","..","..","..","..",".."
